ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;TIPO;TOTAL_ELEM
"16657";"Área Infantil";"015";"UNIVERSIDAD";"01";"CENTRO";"OPERATIVO";"439600.898";"4475235.511";"ETRS89";40.42556179;-3.71202019;"PLAZA";"CRISTINO MARTOS";"2";"28015";"Pza · PLAZA CRISTINO MARTOS , ASCENDIENTE 1: 015";"11006548";"2004-01-01 00:00:00.0";"01004";"AE21";"INFANTIL";4
"16659";"Área Infantil";"015";"UNIVERSIDAD";"01";"CENTRO";"OPERATIVO";"440259.0";"4475407.99";"ETRS89";40.42716308;-3.70427886;"PLAZA";"DOS DE MAYO";"3";"28004";"Pza · PLAZA DEL DOS DE MAYO 3 , ASCENDIENTE 1: 01";"11006142";"2006-11-21 00:00:00.0";"01006";"AE21";"INFANTIL";8
"16661";"Área Infantil";"014";"JUSTICIA";"01";"CENTRO";"OPERATIVO";"441256.02";"4475200.267";"ETRS89";40.42536281;-3.69250675;"PLAZA";"VILLA DE PARIS";"1";"28004";"Pza · PLAZA DE LA VILLA DE PARIS , ZONA 1";"11005131";"2007-06-20 00:00:00.0";"01009";"AE21";"INFANTIL";16
"16663";"Área Infantil";"011";"PALACIO";"01";"CENTRO";"OPERATIVO";"438915.135";"4474119.773";"ETRS89";40.41546067;-3.71999660;"PASEO";"VIRGEN DEL PUERTO";"3 B";"28005";"Pq · PARQUE DE ATENAS , ASCENDIENTE 1: 011 · PALA";"31044315";"2004-01-01 00:00:00.0";"01010";"AE21";"INFANTIL";17
"16665";"Área Infantil";"011";"PALACIO";"01";"CENTRO";"OPERATIVO";"439005.204";"4474092.669";"ETRS89";40.41522311;-3.71893245;;;;;"Pq · PARQUE DE ATENAS , ASCENDIENTE 1: 011 · PALA";"31047537";"2004-01-01 00:00:00.0";"01012";"AE21";"INFANTIL";4
"16667";"Área Infantil";"011";"PALACIO";"01";"CENTRO";"OPERATIVO";"439138.411";"4473621.593";"ETRS89";40.41098920;-3.71731742;"CALLE";"ALGECIRAS";"4";"28005";"C · CALLE DE ALGECIRAS , ASCENDIENTE 1: 011 · PAL";"11001113";"2004-01-01 00:00:00.0";"01014";"AE21";"INFANTIL";8
"16669";"Área Infantil";"012";"EMBAJADORES";"01";"CENTRO";"OPERATIVO";"439733.864";"4473204.282";"ETRS89";40.40727319;-3.71026037;"GLORIETA";"PUERTA DE TOLEDO";"1";"28005";"Pza · PLAZA PUERTA DE TOLEDO , ASCENDIENTE 1: 012";"20105763";"2004-01-01 00:00:00.0";"01016";"AE21";"INFANTIL";14
"16671";"Área Infantil";"011";"PALACIO";"01";"CENTRO";"OPERATIVO";"439371.715";"4473323.183";"ETRS89";40.40831801;-3.71453946;"CALLE";"VENTOSA";"23";"28005";"C · CALLE VENTOSA , ASCENDIENTE 1: 011 · PALACIO";"11001131";"2004-01-01 00:00:00.0";"01018";"AE21";"INFANTIL";10
"16674";"Área Infantil";"012";"EMBAJADORES";"01";"CENTRO";"OPERATIVO";"440322.893";"4473469.617";"ETRS89";40.40970589;-3.70334381;"CALLE";"AMPARO";"28";"28012";"C · CALLE MESON DE PAREDES 46 , ASCENDIENTE 1: 01";"11002104";"2007-05-17 00:00:00.0";"01020";"AE21";"INFANTIL";6
"16676";"Área Infantil";"012";"EMBAJADORES";"01";"CENTRO";"OPERATIVO";"440288.044";"4473330.87";"ETRS89";40.40845349;-3.70374149;;;;;"Pza · PLAZA AGUSTÍN LARA , ASCENDIENTE 1: 012 · E";"11002132";"2004-01-01 00:00:00.0";"01022";"AE21";"INFANTIL";11
"16678";"Área Infantil";"013";"CORTES";"01";"CENTRO";"OPERATIVO";"440562.68";"4474038.459";"ETRS89";40.41484745;-3.70057107;"CALLE";"PRINCIPE";"5";"28012";"Pza · PLAZA SANTA ANA , ASCENDIENTE 1: 013 · CORT";"11003843";"2007-06-28 00:00:00.0";"01024";"AE21";"INFANTIL";6
"16680";"Área Infantil";"013";"CORTES";"01";"CENTRO";"OPERATIVO";"441128.827";"4474218.017";"ETRS89";40.41650524;-3.69391514;;;;;"Pº · PASEO PRADO 6 , ASCENDIENTE 1: 013 · CORTES";"31047833";"2004-01-01 00:00:00.0";"01027";"AE21";"INFANTIL";13
"16682";"Área Infantil";"013";"CORTES";"01";"CENTRO";"OPERATIVO";"440997.38";"4473845.729";"ETRS89";40.41314217;-3.69542987;;;;;"C · CALLE HUERTAS 70 , ASCENDIENTE 1: 013 · CORTE";"11003476";"2007-06-28 00:00:00.0";"01029";"AE21";"INFANTIL";7
"16684";"Área Infantil";"012";"EMBAJADORES";"01";"CENTRO";"OPERATIVO";"440139.376";"4473092.893";"ETRS89";40.40629900;-3.70547112;"CALLE";"CASINO";"5";"28012";"C · CALLE EMBAJADORES 47 , ASCENDIENTE 1: 012 · E";"11002228";"2007-04-24 00:00:00.0";"01030";"AE21";"INFANTIL";24
"16686";"Área Infantil";"011";"PALACIO";"01";"CENTRO";"OPERATIVO";"439854.286";"4474604.454";"ETRS89";40.41989530;-3.70897363;;;;;"C · CALLE CUESTA DE SANTO DOMINGO 16 , ASCENDIENT";"11000193";"2007-07-16 00:00:00.0";"01032";"AE21";"INFANTIL";5
"16690";"Área Infantil";"015";"UNIVERSIDAD";"01";"CENTRO";"OPERATIVO";"440296.305";"4475362.769";"ETRS89";40.42675838;-3.70383486;"PLAZA";"DOS DE MAYO";"9";"28004";"Pza · PLAZA DEL DOS DE MAYO , ASCENDIENTE 1: 015";"11006172";"2006-11-20 00:00:00.0";"01036";"AE21";"INFANTIL";8
"16692";"Área Infantil";"014";"JUSTICIA";"01";"CENTRO";"OPERATIVO";"440935.956";"4475382.786";"ETRS89";40.42698437;-3.69629653;"PLAZA";"SANTA BARBARA";"8";"28004";"Pza · PLAZA SANTA BARBARA , ASCENDIENTE 1: 014 ·";"11005154";"2011-04-15 00:00:00.0";"01038";"AE21";"INFANTIL";5
"16699";"Área Infantil";"021";"IMPERIAL";"02";"ARGANZUELA";"OPERATIVO";"439096.425";"4472942.897";"ETRS89";40.40487213;-3.71774728;"CALLE";"COBOS DE SEGOVIA";"17";"28005";"CALLE COBOS DE SEGOVIA 15-17 POST. CON C/ SAN GARCÍA, ASCENDIENTE 1: 021 ·";"20108116";"2005-05-11 00:00:00.0";"02002";"AE21";"INFANTIL";12
"16701";"Área Infantil";"021";"IMPERIAL";"02";"ARGANZUELA";"OPERATIVO";"439274.723";"4473085.281";"ETRS89";40.40616781;-3.71565978;"CALLE";"MUÑOPEDRO";"6";"28005";"CALLE MUÑOPEDRO 22 ZONA 1 , ASCENDIENTE 1: 021 ·";"31001522";"2004-09-13 00:00:00.0";"02004";"AE21";"INFANTIL";11
"16703";"Área Infantil";"021";"IMPERIAL";"02";"ARGANZUELA";"OPERATIVO";"438765.91";"4472859.919";"ETRS89";40.40410038;-3.72163411;"CALLE";"SAN ALEJANDRO";"10";"28005";"PARQUE SAN ALEJANDRO PADILLA JARDIN DEL MAESTRO PADILLA FRENTE 8-10, ASCENDIENTE 1: 021 ·";"11008204";"2004-09-13 00:00:00.0";"02006";"AE21";"INFANTIL";10
"16709";"Área Infantil";"022";"ACACIAS";"02";"ARGANZUELA";"OPERATIVO";"439935.235";"4472267.191";"ETRS89";40.39884598;-3.70779888;"CALLE";"NAVES";"9";"28005";"CALLE NAVES 9 POSTERIOR, ASCENDIENTE 1: 022 · ACACIAS";"20007452";"2004-12-02 00:00:00.0";"02015";"AE21";"INFANTIL";6
"16711";"Área Infantil";"022";"ACACIAS";"02";"ARGANZUELA";"OPERATIVO";"439981.562";"4472362.095";"ETRS89";40.39970426;-3.70726195;"CALLE";"ARGANDA";"32";"28005";"CALLE ARGANDA 39 POSTERIOR , ASCENDIENTE 1: 022 · ACACI";"11010584";"2004-12-02 00:00:00.0";"02017";"AE21";"INFANTIL";6
"16713";"Área Infantil";"026";"PALOS DE LA FRONTERA";"02";"ARGANZUELA";"OPERATIVO";"441397.644";"4472484.2";"ETRS89";40.40090510;-3.69058714;"CALLE";"GENERAL LACY";"50";"28045";"CALLE GENERAL LACY FRENTE AL Nº 50 , ASCENDIENTE 1: 026 · PAL";"11009960";"2006-03-21 00:00:00.0";"02019";"AE21";"INFANTIL";5
"16715";"Área Infantil";"022";"ACACIAS";"02";"ARGANZUELA";"OPERATIVO";"439936.238";"4472639.289";"ETRS89";40.40219809;-3.70782217;"CALLE";"GASOMETRO";"32";"28005";"CALLE VALLEJO NAJERA C/ GASÓMETRO, ASCENDIENTE 1: 022 · A";"31044316";"2006-01-11 00:00:00.0";"02020";"AE21";"INFANTIL";10
